Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Sainath N.K.,Dentist,BDS,22 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,100%,(470 votes),₹ 500 fee
Dr. Veena Shambulinga,Dentist,BDS,30 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,100%,(470 votes),₹ 500 fee
Dr. Parul Shrivastav,Dentist,BDS,17 Years Experience Overall,"Electronics City, Bangalore",Bangalore,100%,(470 votes),₹ 700 fee
Dr. Vamsi Kiran Kumar,Dentist,BDS,19 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,99%,(165 votes),₹ 500 fee
Dr. Arati Sundar Rajan,Dentist,BDS,27 Years Experience Overall,"Basavanagudi, Bangalore",Bangalore,97%,(232 votes),₹ 450 fee
Dr. Kiran Raj N,Dentist,BDS,14 Years Experience Overall,"Banaswadi, Bangalore",Bangalore,100%,(180 votes),₹ 400 fee
Dr. Roma Haider,Dentist,BDS,25 Years Experience Overall,"Koramangala 5 Block, Bangalore",Bangalore,98%,(44 votes),₹ 600 fee
Dr. Chandan Mahesh,Dentist,BDS,13 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,100%,(1103 votes),₹ 250 fee
Dr. Umesh B M,Dentist,BDS,18 Years Experience Overall  (17 years as specialist),"JP Nagar 6 Phase, Bangalore",Bangalore,100%,(211 votes),₹ 300 fee
Dr. Sushma B T,Dentist,BDS,13 Years Experience Overall,"JP Nagar 6 Phase, Bangalore",Bangalore,100%,(18 votes),₹ 350 fee
Dr. Pamela Bhattacharjee,Dentist,BDS,24 Years Experience Overall,"Mahadevapura, Bangalore",Bangalore,98%,(586 votes),₹ 350 fee
Dr. Adarsha Kannan,Dentist,BDS,28 Years Experience Overall,"Seegehalli, Bangalore",Bangalore,94%,(89 votes),₹ 400 fee
Dr. Priya Verma,Dentist,BDS,27 Years Experience Overall  (26 years as specialist),"Whitefield, Bangalore",Bangalore,97%,(563 votes),₹ 500 fee
Dr. Shilpa Shashikiran,Dentist,BDS,25 Years Experience Overall,"Sadashivanagar, Bangalore",Bangalore,99%,(694 votes),₹ 500 fee
Dr. Swetha Raghavendra,Dentist,BDS,21 Years Experience Overall  (19 years as specialist),"Rajajinagar, Bangalore",Bangalore,96%,(122 votes),₹ 300 fee
Dr. Joseph Jaganathan,Dentist,BDS,24 Years Experience Overall  (11 years as specialist),"Indiranagar, Bangalore",Bangalore,98%,(117 votes),₹ 300 fee
Dr. Sunila Sampath Kumar,Dentist,BDS,28 Years Experience Overall  (26 years as specialist),"HSR Layout, Bangalore",Bangalore,94%,(306 votes),₹ 400 fee
Dr. Sandhya Rachuri,Dentist,BDS,19 Years Experience Overall  (18 years as specialist),"JP Nagar, Bangalore",Bangalore,99%,(265 votes),₹ 350 fee
Dr. Archana Diwan,Dentist,BDS,23 Years Experience Overall,"Horamavu, Bangalore",Bangalore,99%,(85 votes),₹ 400 fee
Dr. Smitha Nagaraj,Dentist,BDS,23 Years Experience Overall,"Jayanagar 7 Block, Bangalore",Bangalore,100%,(293 votes),₹ 500 fee
Dr. Poojitha,Dentist,BDS,11 Years Experience Overall,"Kasturi nagar, Bangalore",Bangalore,96%,(108 votes),₹ 200 fee
Dr. Rashmi Sandeep,Dentist,BDS,19 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,96%,(447 votes),₹ 500 fee
Dr. Sandhya Karthik,Dentist,BDS,25 Years Experience Overall,"Domlur, Bangalore",Bangalore,93%,(230 votes),₹ 600 fee
Dr. George Jeevan,Dentist,BDS,20 Years Experience Overall  (18 years as specialist),"Koramangala, Bangalore",Bangalore,99%,(2740 votes),₹ 500 fee
Dr. Ranjani Rao,Dentist,BDS,25 Years Experience Overall  (24 years as specialist),"Electronics City, Bangalore",Bangalore,94%,(201 votes),₹ 500 fee
Dr. Suchitra,Dentist,BDS,24 Years Experience Overall  (21 years as specialist),"West Of Chord Road, Bangalore",Bangalore,97%,(226 votes),₹ 350 fee
Dr. Dimple Bhatiya,Dentist,BDS,9 Years Experience Overall  (8 years as specialist),"Varthur, Bangalore",Bangalore,100%,(155 votes),₹ 200 fee
Dr. Konthoujam Sulochana,Dentist,BDS,13 Years Experience Overall  (12 years as specialist),"Murugeshpalya, Bangalore",Bangalore,99%,(136 votes),₹ 300 fee
Dr. Kavitha K,Dentist,BDS,14 Years Experience Overall,"Electronics City, Bangalore",Bangalore,99%,(247 votes),₹ 350 fee
Dr. Sandeep,Dentist,BDS,20 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,94%,(884 votes),₹ 500 fee
Dr. Bharath,Dentist,BDS,17 Years Experience Overall  (16 years as specialist),"Singasandra, Bangalore",Bangalore,100%,(505 votes),₹ 500 fee
Dr. Gopathi Haritha,Dentist,BDS,12 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,97%,(61 votes),₹ 300 fee
Dr. Sushma,Dentist,BDS,21 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,100%,(37 votes),₹ 500 fee
Dr. Gokulraj T.R,Dentist,BDS,8 Years Experience Overall  (7 years as specialist),"Yelahanka, Bangalore",Bangalore,100%,(19 votes),₹ 350 fee
Dr. Sirse Namrata,Dentist,BDS,11 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,99%,(185 votes),₹ 500 fee
Dr. Aarthi Shankar,Dentist,BDS,18 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,99%,(107 votes),₹ 400 fee
Dr. Shwetha,Dentist,BDS,18 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,96%,(257 votes),₹ 500 fee
Dr. NG Sylvia Kune,Dentist,BDS,7 Years Experience Overall,"HAL 2nd Stage, Bangalore",Bangalore,96%,(23 votes),₹ 500 fee
Dr. Vikram V Kamath,Dentist,BDS,14 Years Experience Overall  (12 years as specialist),"Hegde Nagar, Bangalore",Bangalore,96%,(27 votes),₹ 500 fee
Dr. P S Lakshmi,Dentist,BDS,28 Years Experience Overall  (26 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,91%,(768 votes),₹ 500 fee
Dr. Mridula Singh,Dentist,BDS,19 Years Experience Overall  (18 years as specialist),"HSR Layout, Bangalore",Bangalore,97%,(1512 votes),₹ 600 fee
Dr. Archana S,Dentist,BDS,17 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,99%,(180 votes),₹ 300 fee
Dr. Sangeeta Honnur,Dentist,BDS,28 Years Experience Overall  (26 years as specialist),"Bellandur, Bangalore",Bangalore,96%,(1827 votes),₹ 400 fee
Dr. Pavan K,Dentist,BDS,28 Years Experience Overall,"Chandra Layout, Bangalore",Bangalore,98%,(81 votes),₹ 300 fee
Dr. Trilochani Prabhakar,Dentist,BDS,44 Years Experience Overall,"Bannerghatta Road, Bangalore",Bangalore,91%,(167 votes),₹ 200 fee
Dr. Asmita,Dentist,BDS,25 Years Experience Overall  (23 years as specialist),"Bellandur, Bangalore",Bangalore,92%,(52 votes),₹ 400 fee
Dr. Pritee Ray,Dentist,BDS,15 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,100%,(73 votes),₹ 350 fee
Dr. Kavitha J,Dentist,BDS,27 Years Experience Overall  (26 years as specialist),"Bannerghatta Road, Bangalore",Bangalore,97%,(64 votes),₹ 300 fee
Dr. Samanvitha Shetty,Dentist,BDS,21 Years Experience Overall,"Rajajinagar, Bangalore",Bangalore,99%,(188 votes),₹ 300 fee
Dr. Manasa Anup,Dentist,BDS,16 Years Experience Overall  (15 years as specialist),"Vidyaranyapura, Bangalore",Bangalore,100%,(15 votes),₹ 250 fee
Dr. Sandeep Hegde,Dentist,BDS,30 Years Experience Overall,"BTM Layout 2nd Stage, Bangalore",Bangalore,99%,(1295 votes),₹ 400 fee
Dr. Vijayatha Shetty,Dentist,BDS,12 Years Experience Overall  (11 years as specialist),"Banaswadi, Bangalore",Bangalore,94%,(16 votes),₹ 500 fee
Dr. Shilpa,Dentist,BDS,15 Years Experience Overall,"Hennur, Bangalore",Bangalore,98%,(90 votes),₹ 300 fee
Dr. Arti Misra Sharma,Dentist,BDS,13 Years Experience Overall,"JP Nagar 5 Phase, Bangalore",Bangalore,98%,(311 votes),₹ 300 fee
Dr. Rupali Wankhede Panpate,Dentist,BDS,18 Years Experience Overall,"Kasturi nagar, Bangalore",Bangalore,98%,(110 votes),₹ 400 fee
Dr. Beena Gopi,Dentist,BDS,21 Years Experience Overall  (20 years as specialist),"Richmond Town, Bangalore",Bangalore,100%,(114 votes),₹ 300 fee
Dr. Mridula Radhakrishnan,Dentist,BDS,16 Years Experience Overall  (15 years as specialist),"Indiranagar, Bangalore",Bangalore,100%,(15 votes),₹ 500 fee
Dr. Nita Kashyap,Dentist,BDS,12 Years Experience Overall  (11 years as specialist),"CV Raman Nagar, Bangalore",Bangalore,99%,(413 votes),₹ 400 fee
Dr. Santhosha S Kharvi,Dentist,BDS,23 Years Experience Overall,"Hennur, Bangalore",Bangalore,97%,(95 votes),₹ 500 fee
Dr. Mahendra K P,Dentist,BDS,23 Years Experience Overall,"Banashankari 1st Stage, Bangalore",Bangalore,98%,(50 votes),₹ 300 fee
Dr. Josin V Jose,Dentist,BDS,11 Years Experience Overall,"Bellandur, Bangalore",Bangalore,98%,(44 votes),₹ 400 fee
Dr. Amith Kukke,Dentist,BDS,21 Years Experience Overall,"JP Nagar 2 Phase, Bangalore",Bangalore,95%,(895 votes),₹ 500 fee
Dr. Reetu Singh,Dentist,BDS,15 Years Experience Overall  (14 years as specialist),"Jalahalli, Bangalore",Bangalore,100%,(55 votes),₹ 300 fee
Dr. D.S. Chandrashekar,Dentist,BDS,24 Years Experience Overall,"BTM Layout 2nd Stage, Bangalore",Bangalore,97%,(117 votes),₹ 500 fee
Dr. Akanksha Kapoor,Dentist,BDS,9 Years Experience Overall  (7 years as specialist),"KR Puram, Bangalore",Bangalore,100%,(507 votes),₹ 200 fee
Dr. Sheetal Shetty,Dentist,BDS,27 Years Experience Overall,"Ulsoor, Bangalore",Bangalore,98%,(45 votes),₹ 500 fee
Dr. Shiva Kumar.P.B,Dentist,BDS,21 Years Experience Overall,"Sahakaranagar, Bangalore",Bangalore,99%,(807 votes),₹ 400 fee
Dr. Jonathan Eric Rao,Dentist,BDS,15 Years Experience Overall,"Horamavu, Bangalore",Bangalore,99%,(209 votes),₹ 400 fee
Dr. Sumalatha,Dentist,BDS,15 Years Experience Overall,"RT Nagar, Bangalore",Bangalore,99%,(184 votes),₹ 300 fee
Dr. Raghunandana D Karantha,Dentist,BDS,34 Years Experience Overall,"Vijayanagar, Bangalore",Bangalore,99%,(238 votes),₹ 500 fee
Dr. Deepthi B,Dentist,BDS,13 Years Experience Overall,"Whitefield, Bangalore",Bangalore,95%,(20 votes),₹ 500 fee
Dr. Deepadnya Helekar,Dentist,BDS,20 Years Experience Overall,"Kundalahalli, Bangalore",Bangalore,98%,(100 votes),₹ 350 fee
Dr. Teena Aiyanna,Dentist,BDS,21 Years Experience Overall,"RT Nagar, Bangalore",Bangalore,100%,(39 votes),₹ 400 fee
Dr. Geetha S,Dentist,BDS,14 Years Experience Overall,"KR Puram, Bangalore",Bangalore,97%,(355 votes),₹ 300 fee
Dr. Anjana Viswanath,Dentist,BDS,28 Years Experience Overall,"Ulsoor, Bangalore",Bangalore,100%,(31 votes),₹ 600 fee
Dr. Minarbha,Dentist,BDS,17 Years Experience Overall,"Horamavu, Bangalore",Bangalore,99%,(116 votes),₹ 400 fee
Dr. P V Moxit,Dentist,BDS,17 Years Experience Overall  (15 years as specialist),"Banashankari 3rd Stage, Bangalore",Bangalore,97%,(294 votes),₹ 300 fee
Dr. Monica Rao,Dentist,BDS,13 Years Experience Overall,"Jayanagar, Bangalore",Bangalore,96%,(82 votes),₹ 300 fee
Dr. Sapna S,Dentist,BDS,18 Years Experience Overall,"Kaggadasapura, Bangalore",Bangalore,97%,(111 votes),₹ 550 fee
Dr. Pooja Shetty,Dentist,BDS,4 Years Experience Overall,"Whitefield, Bangalore",Bangalore,100%,(62 votes),₹ 300 fee
Dr. Preethi,Dentist,BDS,20 Years Experience Overall,"Jayanagar 7 Block, Bangalore",Bangalore,99%,(140 votes),₹ 500 fee
Dr. Arunima Chandra,Dentist,BDS,8 Years Experience Overall,"Whitefield, Bangalore",Bangalore,99%,(133 votes),₹ 300 fee
Dr. Shreya Francis,Dentist,BDS,8 Years Experience Overall  (7 years as specialist),"Varthur, Bangalore",Bangalore,98%,(81 votes),₹ 300 fee
Dr. Pravalli P,Dentist,BDS,12 Years Experience Overall,"Singasandra, Bangalore",Bangalore,100%,(42 votes),₹ 300 fee
Dr. Akshara Potluri,Dentist,BDS,11 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,96%,(192 votes),₹ 300 fee
Dr. Bibi Halima Shamaz,Dentist,BDS,15 Years Experience Overall,"Wilson Garden, Bangalore",Bangalore,100%,(47 votes),₹ 500 fee
Dr. Shradha Das,Dentist,BDS,8 Years Experience Overall,"HRBR Layout, Bangalore",Bangalore,98%,(142 votes),₹ 500 fee
Dr. Amrita,Dentist,BDS,17 Years Experience Overall,"Kasturi nagar, Bangalore",Bangalore,96%,(194 votes),₹ 500 fee
Dr. Prashanth,Dentist,BDS,25 Years Experience Overall  (24 years as specialist),"Indiranagar, Bangalore",Bangalore,99%,(212 votes),₹ 300 fee
Dr. Suthar Tausif,Dentist,BDS,11 Years Experience Overall  (10 years as specialist),"JP Nagar, Bangalore",Bangalore,99%,(67 votes),₹ 350 fee
Dr. Gayathri N,Dentist,BDS,9 Years Experience Overall,"Banashankari 1st Stage, Bangalore",Bangalore,93%,(55 votes),₹ 500 fee
Dr. Navya,Dentist,BDS,12 Years Experience Overall,"Jayanagar 7 Block, Bangalore",Bangalore,99%,(198 votes),₹ 500 fee
Dr. Priya Mahimtura,Dentist,BDS,27 Years Experience Overall,"Electronics City, Bangalore",Bangalore,94%,(192 votes),₹ 250 fee
Dr. Narayan Babu,Dentist,BDS,15 Years Experience Overall  (14 years as specialist),"HSR Layout, Bangalore",Bangalore,99%,(1322 votes),₹ 800 fee
Dr. Sujatha G,Dentist,BDS,16 Years Experience Overall,"Yeshwanthpur, Bangalore",Bangalore,98%,(47 votes),₹ 700 fee
Dr. C Reddy Raghavendra,Dentist,BDS,11 Years Experience Overall,"Munnekollal, Bangalore",Bangalore,100%,(86 votes),₹ 200 fee
Dr. Chandramohan Raju D,Dentist,BDS,17 Years Experience Overall,"Malleswaram, Bangalore",Bangalore,100%,(22 votes),₹ 700 fee
Dr. Prasad MS,Dentist,BDS,16 Years Experience Overall,"Hebbal, Bangalore",Bangalore,100%,(22 votes),₹ 800 fee
Dr. Kiran D V,Dentist,BDS,20 Years Experience Overall,"Bannerghatta Road, Bangalore",Bangalore,100%,(13 votes),₹ 200 fee
Dr. Jisha Thankam,Dentist,BDS,23 Years Experience Overall,"CV Raman Nagar, Bangalore",Bangalore,100%,(13 votes),₹ 350 fee
Dr. Shabnam M Khan,Dentist,BDS,11 Years Experience Overall,"Jayanagar, Bangalore",Bangalore,100%,(13 votes),₹ 250 fee
Dr. Reema Naik Shetty,Dentist,BDS,20 Years Experience Overall  (18 years as specialist),"Jeevanbhimanagar, Bangalore",Bangalore,88%,(17 votes),₹ 500 fee
Dr. Eshani Kaul,Dentist,BDS,11 Years Experience Overall  (10 years as specialist),"Banashankari 3rd Stage, Bangalore",Bangalore,97%,(35 votes),₹ 200 fee
Dr. Sridevi,Dentist,BDS,19 Years Experience Overall,"Vidyaranyapura, Bangalore",Bangalore,100%,(77 votes),₹ 300 fee
Dr. Farooq Ahmed,Dentist,BDS,25 Years Experience Overall  (24 years as specialist),"Frazer Town, Bangalore",Bangalore,100%,(167 votes),₹ 300 fee
Dr. Chitra S Shetty,Dentist,BDS,22 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,97%,(34 votes),₹ 400 fee
Dr. Ann Thomas,Dentist,BDS,17 Years Experience Overall,"Ramamurthy Nagar, Bangalore",Bangalore,100%,(33 votes),₹ 100 fee
Dr. Imtiaz Ahmed,Dentist,BDS,34 Years Experience Overall,"Upparahalli, Bangalore",Bangalore,100%,(22 votes),₹ 200 fee
Dr. Sneha Kumari Ojha,Dentist,BDS,8 Years Experience Overall,"Bellandur, Bangalore",Bangalore,100%,(154 votes),₹ 400 fee
Dr. Athhar Maswood K,Dentist,BDS,4 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,100%,(11 votes),₹ 300 fee
Dr. Khushbu Shah,Dentist,BDS,12 Years Experience Overall,"Whitefield, Bangalore",Bangalore,100%,(101 votes),₹ 400 fee
Dr. Archak Gayathri,Dentist,BDS,10 Years Experience Overall,"Kaggadasapura, Bangalore",Bangalore,98%,(306 votes),₹ 400 fee
Dr. Sayona Swati Das,Dentist,BDS,11 Years Experience Overall,"Murugeshpalya, Bangalore",Bangalore,100%,(27 votes),₹ 500 fee
Dr. Pallavi Karan,Dentist,BDS,8 Years Experience Overall,"Electronics City, Bangalore",Bangalore,100%,(22 votes),₹ 200 fee
Dr. Mata Sundeep,Dentist,BDS,13 Years Experience Overall  (12 years as specialist),"Sahakaranagar, Bangalore",Bangalore,99%,(85 votes),₹ 500 fee
Dr. R Bharathi Deepak,Dentist,BDS,20 Years Experience Overall,"Mathikere - BEL, Bangalore",Bangalore,96%,(376 votes),₹ 300 fee
Dr. Shyamala Pakki,Dentist,BDS,16 Years Experience Overall  (15 years as specialist),"Thanisandra, Bangalore",Bangalore,97%,(98 votes),₹ 300 fee
Dr. Tasmiya Kouser,Dentist,BDS,5 Years Experience Overall,"Lingarajapuram, Bangalore",Bangalore,100%,(21 votes),₹ 200 fee
Dr. Ahraj,Dentist,BDS,7 Years Experience Overall  (5 years as specialist),"Sarjapur Road, Bangalore",Bangalore,100%,(28 votes),₹ 750 fee
Dr. Neethu Raj,Dentist,BDS,11 Years Experience Overall  (9 years as specialist),"Bellandur, Bangalore",Bangalore,100%,(15 votes),₹ 400 fee
Dr. Sapna Paniker,Dentist,BDS,28 Years Experience Overall,"Jeevanbhimanagar, Bangalore",Bangalore,100%,(13 votes),₹ 400 fee
Dr. Ramya,Dentist,BDS,20 Years Experience Overall,"Kundalahalli, Bangalore",Bangalore,98%,(43 votes),₹ 400 fee
Dr. Ekta,Dentist,BDS,6 Years Experience Overall,"Marathahalli, Bangalore",Bangalore,100%,(18 votes),₹ 500 fee
Dr. Shireen,Dentist,BDS,4 Years Experience Overall,"Belathur, Bangalore",Bangalore,100%,(32 votes),₹ 400 fee
Dr. Sunil Anto,Dentist,BDS,21 Years Experience Overall,"Ulsoor, Bangalore",Bangalore,100%,(32 votes),₹ 400 fee
Dr. Samar Mohapatra,Dentist,BDS,8 Years Experience Overall,"Marathahalli, Bangalore",Bangalore,100%,(12 votes),₹ 200 fee
Dr. Dinesh Shetty,Dentist,BDS,19 Years Experience Overall,"Millers Road, Bangalore",Bangalore,100%,(68 votes),₹ 1000 fee
Dr. Hajira Nazeer,Dentist,BDS,11 Years Experience Overall,"Langford Road, Bangalore",Bangalore,95%,(21 votes),₹ 300 fee
Dr. Jeba Mary Nadar,Dentist,BDS,13 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,95%,(21 votes),₹ 500 fee
Dr. Dikitha.K,Dentist,BDS,16 Years Experience Overall,"Jayanagar, Bangalore",Bangalore,95%,(21 votes),₹ 600 fee
Dr. Uzma Hassan,Dentist,BDS,6 Years Experience Overall,"Koramangala 4 Block, Bangalore",Bangalore,97%,(129 votes),₹ 500 fee
Dr. Pranjal,Dentist,BDS,6 Years Experience Overall,"Electronics City, Bangalore",Bangalore,97%,(129 votes),₹ 300 fee
Dr. Pallavi Manju Prasad,Dentist,BDS,8 Years Experience Overall,"Whitefield, Bangalore",Bangalore,97%,(129 votes),₹ 300 fee
Dr. Kishor S Gowda,Dentist,BDS,5 Years Experience Overall,"Horamavu, Bangalore",Bangalore,92%,(13 votes),₹ 400 fee
Dr. Mahalakshmi Bakthavathsalam,Dentist,BDS,7 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,92%,(13 votes),₹ 350 fee
Dr. Litta Abraham,Dentist,BDS,5 Years Experience Overall,"Koramangala 4 Block, Bangalore",Bangalore,92%,(13 votes),₹ 350 fee
Dr. Bagmi Mahapatra,Dentist,BDS,7 Years Experience Overall,"Harlur, Bangalore",Bangalore,92%,(13 votes),₹ 400 fee
Dr. Bathwar Mihir Raja,Dentist,BDS,7 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,92%,(13 votes),₹ 0 fee
Dr. Nida Shaik,Dentist,BDS,10 Years Experience Overall,"Sahakaranagar, Bangalore",Bangalore,92%,(13 votes),₹ 300 fee
Dr. Arun M,Dentist,BDS,8 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,92%,(13 votes),₹ 700 fee
Dr. Vinay Ashok Kumar,Dentist,BDS,5 Years Experience Overall,"Jayanagar, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Jayalakshmi S,Dentist,BDS,12 Years Experience Overall,"Vidyaranyapura, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Anvitaa Gurudatta,Dentist,BDS,2 Years Experience Overall,"JP Nagar 5 Phase, Bangalore",Bangalore,100%,(13 votes),₹ 250 fee
Dr. Bharath Asopa,Dentist,BDS,5 Years Experience Overall  (4 years as specialist),"Koramangala 4 Block, Bangalore",Bangalore,100%,(13 votes),₹ 350 fee
Dr. B S Thanuja,Dentist,BDS,26 Years Experience Overall,"Ramamurthy Nagar, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Deepak Pathak,Dentist,BDS,5 Years Experience Overall,"Sarjapur Road, Bangalore",Bangalore,100%,(13 votes),₹ 500 fee
Dr. Suraiya Taranum,Dentist,BDS,2 Years Experience Overall,"BTM Layout 1st Stage, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Shubha C N,Dentist,BDS,18 Years Experience Overall,"HRBR Layout, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Deepthi Nenavath,Dentist,BDS,9 Years Experience Overall,"Harlur, Bangalore",Bangalore,100%,(13 votes),₹ 600 fee
Dr. Pradeep Nayak,Dentist,BDS,21 Years Experience Overall,"Kalyan Nagar, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Girija K M B,Dentist,BDS,20 Years Experience Overall,"T Dasarahalli, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Preethi Naidu,Dentist,BDS,13 Years Experience Overall,"BTM Layout 1st Stage, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Sushmita,Dentist,BDS,4 Years Experience Overall,"Chamarajpet, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Shoba Harish Kumar,Dentist,BDS,21 Years Experience Overall,"Sadashivanagar, Bangalore",Bangalore,100%,(13 votes),₹ 500 fee
Dr. Mohamed Asadulla,Dentist,BDS,7 Years Experience Overall,"Upparahalli, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Anitha J K,Dentist,BDS,11 Years Experience Overall,"Nagarbhavi, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Manoj Kumari,Dentist,BDS,9 Years Experience Overall,"West Of Chord Road, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Rashmi Manjunath,Dentist,BDS,10 Years Experience Overall,"JP Nagar, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Judith Christina,Dentist,BDS,5 Years Experience Overall  (3 years as specialist),"HRBR Layout, Bangalore",Bangalore,100%,(13 votes),₹ 500 fee
Dr. Ritu Banth,Dentist,BDS,8 Years Experience Overall,"Bommanahalli, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Saiyad Benezir,Dentist,BDS,7 Years Experience Overall,"Whitefield, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Butcha Sekhar,Dentist,BDS,6 Years Experience Overall,"Basaveshwaranagar, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Apoorva K,Dentist,BDS,8 Years Experience Overall,"Harlur, Bangalore",Bangalore,100%,(13 votes),₹ 500 fee
Dr. Arshina Mol,Dentist,BDS,5 Years Experience Overall,"Whitefield, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Richa Lakhotia,Dentist,BDS,5 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Bharath Kumar,Dentist,BDS,5 Years Experience Overall,"Koramangala, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Aiman Khan,Dentist,BDS,5 Years Experience Overall,"Vasanthnagar, Bangalore",Bangalore,100%,(13 votes),₹ 600 fee
