Speciality,Year_of_experience,Location,City,dp_score,consultation_fee,npv(votes),Degree
Dentist,13,Jayanagar,Bangalore,96,300,82,BDS
Dentist,18,Kaggadasapura,Bangalore,97,550,111,BDS
Dentist,4,Whitefield,Bangalore,100,300,62,BDS
Dentist,20,Jayanagar 7 Block,Bangalore,99,500,140,BDS
Dentist,8,Whitefield,Bangalore,99,300,133,BDS
Dentist,8,Varthur,Bangalore,98,300,81,BDS
Dentist,12,Singasandra,Bangalore,100,300,42,BDS
Dentist,11,Sarjapur Road,Bangalore,96,300,192,BDS
Dentist,15,Wilson Garden,Bangalore,100,500,47,BDS
Dentist,8,HRBR Layout,Bangalore,98,500,142,BDS
Dentist,17,Kasturi nagar,Bangalore,96,500,194,BDS
Dentist,25,Indiranagar,Bangalore,99,300,212,BDS
Dentist,11,JP Nagar,Bangalore,99,350,67,BDS
Dentist,9,Banashankari 1st Stage,Bangalore,93,500,55,BDS
Dentist,12,Jayanagar 7 Block,Bangalore,99,500,198,BDS
Dentist,27,Electronics City,Bangalore,94,250,192,BDS
Dentist,15,HSR Layout,Bangalore,99,800,1322,BDS
Dentist,16,Yeshwanthpur,Bangalore,98,700,47,BDS
Dentist,11,Munnekollal,Bangalore,100,200,86,BDS
Dentist,17,Malleswaram,Bangalore,100,700,22,BDS
Dentist,16,Hebbal,Bangalore,100,800,22,BDS
Dentist,20,Bannerghatta Road,Bangalore,100,200,13,BDS
Dentist,23,CV Raman Nagar,Bangalore,100,350,13,BDS
Dentist,11,Jayanagar,Bangalore,100,250,13,BDS
Dentist,20,Jeevanbhimanagar,Bangalore,88,500,17,BDS
Dentist,11,Banashankari 3rd Stage,Bangalore,97,200,35,BDS
Dentist,19,Vidyaranyapura,Bangalore,100,300,77,BDS
Dentist,25,Frazer Town,Bangalore,100,300,167,BDS
Dentist,22,HSR Layout,Bangalore,97,400,34,BDS
Dentist,17,Ramamurthy Nagar,Bangalore,100,100,33,BDS
Dentist,34,Upparahalli,Bangalore,100,200,22,BDS
Dentist,8,Bellandur,Bangalore,100,400,154,BDS
Dentist,4,HSR Layout,Bangalore,100,300,11,BDS
Dentist,12,Whitefield,Bangalore,100,400,101,BDS
Dentist,10,Kaggadasapura,Bangalore,98,400,306,BDS
Dentist,11,Murugeshpalya,Bangalore,100,500,27,BDS
Dentist,8,Electronics City,Bangalore,100,200,22,BDS
Dentist,13,Sahakaranagar,Bangalore,99,500,85,BDS
Dentist,20,Mathikere - BEL,Bangalore,96,300,376,BDS
Dentist,16,Thanisandra,Bangalore,97,300,98,BDS
Dentist,5,Lingarajapuram,Bangalore,100,200,21,BDS
Dentist,7,Sarjapur Road,Bangalore,100,750,28,BDS
Dentist,11,Bellandur,Bangalore,100,400,15,BDS
Dentist,28,Jeevanbhimanagar,Bangalore,100,400,13,BDS
Dentist,20,Kundalahalli,Bangalore,98,400,43,BDS
Dentist,6,Marathahalli,Bangalore,100,500,18,BDS
Dentist,4,Belathur,Bangalore,100,400,32,BDS
Dentist,21,Ulsoor,Bangalore,100,400,32,BDS
Dentist,8,Marathahalli,Bangalore,100,200,12,BDS
Dentist,19,Millers Road,Bangalore,100,1000,68,BDS
Dentist,11,Langford Road,Bangalore,95,300,21,BDS
Dentist,13,Indiranagar,Bangalore,95,500,21,BDS
Dentist,16,Jayanagar,Bangalore,95,600,21,BDS
Dentist,6,Koramangala 4 Block,Bangalore,97,500,129,BDS
Dentist,6,Electronics City,Bangalore,97,300,129,BDS
Dentist,8,Whitefield,Bangalore,97,300,129,BDS
Dentist,5,Horamavu,Bangalore,92,400,13,BDS
Dentist,7,HSR Layout,Bangalore,92,350,13,BDS
Dentist,5,Koramangala 4 Block,Bangalore,92,350,13,BDS
Dentist,7,Harlur,Bangalore,92,400,13,BDS
Dentist,7,Indiranagar,Bangalore,92,0,13,BDS
Dentist,10,Sahakaranagar,Bangalore,92,300,13,BDS
Dentist,8,Sarjapur Road,Bangalore,92,700,13,BDS
Dentist,5,Jayanagar,Bangalore,100,300,13,BDS
Dentist,12,Vidyaranyapura,Bangalore,100,300,13,BDS
Dentist,2,JP Nagar 5 Phase,Bangalore,100,250,13,BDS
Dentist,5,Koramangala 4 Block,Bangalore,100,350,13,BDS
Dentist,26,Ramamurthy Nagar,Bangalore,100,300,13,BDS
Dentist,5,Sarjapur Road,Bangalore,100,500,13,BDS
Dentist,2,BTM Layout 1st Stage,Bangalore,100,300,13,BDS
Dentist,18,HRBR Layout,Bangalore,100,300,13,BDS
Dentist,9,Harlur,Bangalore,100,600,13,BDS
Dentist,21,Kalyan Nagar,Bangalore,100,300,13,BDS
Dentist,20,T Dasarahalli,Bangalore,100,300,13,BDS
Dentist,13,BTM Layout 1st Stage,Bangalore,100,300,13,BDS
Dentist,4,Chamarajpet,Bangalore,100,300,13,BDS
Dentist,21,Sadashivanagar,Bangalore,100,500,13,BDS
Dentist,7,Upparahalli,Bangalore,100,300,13,BDS
Dentist,11,Nagarbhavi,Bangalore,100,300,13,BDS
Dentist,9,West Of Chord Road,Bangalore,100,300,13,BDS
Dentist,10,JP Nagar,Bangalore,100,300,13,BDS
Dentist,5,HRBR Layout,Bangalore,100,500,13,BDS
Dentist,8,Bommanahalli,Bangalore,100,300,13,BDS
Dentist,7,Whitefield,Bangalore,100,300,13,BDS
Dentist,6,Basaveshwaranagar,Bangalore,100,300,13,BDS
Dentist,8,Harlur,Bangalore,100,500,13,BDS
Dentist,5,Whitefield,Bangalore,100,300,13,BDS
Dentist,5,HSR Layout,Bangalore,100,300,13,BDS
Dentist,5,Koramangala,Bangalore,100,300,13,BDS
Dentist,5,Vasanthnagar,Bangalore,100,600,13,BDS
Dentist,8,JP Nagar,Bangalore,100,500,13,BDS
Dentist,2,HSR Layout,Bangalore,100,500,13,BDS
Dentist,8,HSR Layout,Bangalore,100,800,13,BDS
Dentist,6,Sarjapur Road,Bangalore,100,500,13,BDS
Dentist,12,Hebbal,Bangalore,100,500,13,BDS
Dentist,11,Thanisandra,Bangalore,97,300,278,BDS
Dentist,27,Koramangala 1 Block,Bangalore,99,200,237,BDS
Dentist,30,Whitefield,Bangalore,95,500,745,BDS
Dentist,10,Malleswaram,Bangalore,100,300,32,BDS
Dentist,29,Indiranagar,Bangalore,99,500,217,BDS
Dentist,14,RT Nagar,Bangalore,97,200,345,BDS
Dentist,12,Hanumanthnagar,Bangalore,98,300,187,BDS
Dentist,15,Koramangala,Bangalore,99,500,97,BDS
Dentist,16,Vijayanagar,Bangalore,99,300,234,BDS
Dentist,12,Bannerghatta Road,Bangalore,99,500,202,BDS
Dentist,15,Hebbal Kempapura,Bangalore,98,500,81,BDS
Dentist,19,Bannerghatta Road,Bangalore,99,300,373,BDS
Dentist,18,Bellandur,Bangalore,99,200,74,BDS
Dentist,15,Koramangala,Bangalore,99,350,261,BDS
Dentist,24,JP Nagar 1 Phase,Bangalore,96,200,95,BDS
Dentist,23,Marathahalli,Bangalore,99,500,231,BDS
Dentist,30,Marathahalli,Bangalore,94,500,266,BDS
Dentist,17,Koramangala,Bangalore,99,500,451,BDS
Dentist,12,Malleswaram,Bangalore,89,300,28,BDS
Dentist,10,BTM Layout 2nd Stage,Bangalore,99,300,70,BDS
Dentist,21,RT Nagar,Bangalore,99,400,70,BDS
Dentist,22,Indiranagar,Bangalore,84,500,45,BDS
Dentist,20,Jayanagar 2 Block,Bangalore,100,400,28,BDS
Dentist,32,Kammana Halli,Bangalore,99,250,384,BDS
Dentist,25,Whitefield,Bangalore,97,200,599,BDS
Dentist,27,Viveknagar,Bangalore,98,400,124,BDS
Dentist,29,Bannerghatta Road,Bangalore,90,500,187,BDS
Dentist,4,Nagarbhavi 2nd Stage,Bangalore,100,200,12,BDS
Dentist,20,Electronics City,Bangalore,99,400,719,BDS
Dentist,23,Koramangala,Bangalore,97,350,691,BDS
Dentist,44,Electronics City,Bangalore,80,500,15,BDS
Dentist,6,Vidyaranyapura,Bangalore,100,200,32,BDS
Dentist,11,Kundalahalli,Bangalore,98,100,65,BDS
Dentist,21,Domlur,Bangalore,98,500,709,BDS
Dentist,19,HRBR Layout,Bangalore,98,500,661,BDS
Dentist,8,BTM Layout 2nd Stage,Bangalore,100,300,15,BDS
Dentist,14,Whitefield,Bangalore,100,350,69,BDS
Dentist,21,JP Nagar 7 Phase,Bangalore,98,300,283,BDS
Dentist,15,Electronics City,Bangalore,99,400,178,BDS
Dentist,20,HSR Layout,Bangalore,99,300,178,BDS
Dentist,7,HSR Layout,Bangalore,96,500,52,BDS
Dentist,12,Brigade Road,Bangalore,96,250,52,BDS
Dentist,18,Yelahanka,Bangalore,95,500,111,BDS
Dentist,14,HSR Layout,Bangalore,98,500,609,BDS
Dentist,17,Yelachenahalli,Bangalore,86,150,22,BDS
Dentist,13,Bagalur,Bangalore,99,500,96,BDS
Dentist,33,Bannerghatta Road,Bangalore,99,250,224,BDS
Dentist,17,Begur,Bangalore,92,500,12,BDS
Dentist,8,Koramangala,Bangalore,100,500,80,BDS
Dentist,15,RMV 2nd Stage,Bangalore,94,250,36,BDS
Dentist,18,HSR Layout,Bangalore,92,600,181,BDS
Dentist,20,Marathahalli,Bangalore,99,200,330,BDS
Dentist,25,Hanumanthnagar,Bangalore,95,700,20,BDS
Dentist,12,Indiranagar,Bangalore,95,500,19,BDS
Dentist,17,Vidyaranyapura,Bangalore,100,200,36,BDS
Dentist,16,Akshaya nagar,Bangalore,100,400,118,BDS
Dentist,15,HSR Layout,Bangalore,100,400,118,BDS
Dentist,21,Indiranagar,Bangalore,100,200,99,BDS
Dentist,4,HSR Layout,Bangalore,100,200,99,BDS
Dentist,10,Begur,Bangalore,100,300,52,BDS
Dentist,13,Yelahanka New Town,Bangalore,100,500,52,BDS
Dentist,11,JP Nagar 3 Phase,Bangalore,100,200,52,BDS
Dentist,10,HSR Layout,Bangalore,100,400,24,BDS
Dentist,9,JP Nagar 7 Phase,Bangalore,95,250,55,BDS
Dentist,16,Akshaya nagar,Bangalore,100,400,19,BDS
Dentist,10,KR Puram,Bangalore,100,200,18,BDS
Dentist,14,Bommanahalli,Bangalore,100,350,12,BDS
Dentist,12,Whitefield,Bangalore,100,300,12,BDS
Dentist,14,Horamavu,Bangalore,100,400,28,BDS
Dentist,9,Marathahalli,Bangalore,100,200,31,BDS
Dentist,19,Kanakpura Road,Bangalore,100,200,31,BDS
Dentist,6,Whitefield,Bangalore,100,100,31,BDS
Dentist,25,JP Nagar 6 Phase,Bangalore,100,200,31,BDS
Dentist,12,Whitefield,Bangalore,97,300,143,BDS
Dentist,5,Kundalahalli,Bangalore,100,100,20,BDS
Dentist,12,Banashankari 3rd Stage,Bangalore,100,200,20,BDS
Dentist,21,Basavanagudi,Bangalore,100,0,20,BDS
Dentist,16,West Of Chord Road,Bangalore,100,300,11,BDS
Dentist,9,Sarjapur Road,Bangalore,100,200,11,BDS
Dentist,5,Sarjapur Road,Bangalore,80,550,15,BDS
Dentist,14,Frazer Town,Bangalore,80,350,15,BDS
Dentist,5,Indiranagar,Bangalore,80,500,15,BDS
Dentist,1,HSR Layout,Bangalore,80,300,15,BDS
Dentist,7,RT Nagar,Bangalore,95,200,40,BDS
Dentist,10,Sanjay Nagar,Bangalore,95,300,40,BDS
Dentist,2,Bellandur,Bangalore,95,650,40,BDS
Dentist,6,Kasturi nagar,Bangalore,95,300,40,BDS
Dentist,10,Harlur,Bangalore,95,200,40,BDS
Dentist,7,HSR Layout,Bangalore,95,350,40,BDS
Dentist,21,Basavanagudi,Bangalore,95,300,40,BDS
Dentist,21,Hebbal,Bangalore,95,300,40,BDS
Dentist,11,Basavanagudi,Bangalore,95,500,40,BDS
Dentist,8,HSR Layout,Bangalore,95,300,40,BDS
Dentist,14,Vidyaranyapura,Bangalore,95,300,40,BDS
Dentist,2,Indiranagar,Bangalore,95,400,40,BDS
Dentist,12,Bellandur,Bangalore,95,400,40,BDS
Dentist,8,Hosur Road,Bangalore,95,200,40,BDS
Dentist,3,Malleswaram,Bangalore,95,300,40,BDS
Dentist,4,Sahakaranagar,Bangalore,95,600,40,BDS
Dentist,14,Malleswaram,Bangalore,95,300,40,BDS
Dentist,36,Greater Kailash Part 2,Delhi,98,800,81,BDS
Dentist,40,Greater Kailash Part 2,Delhi,96,800,114,BDS
Dentist,23,Punjabi Bagh,Delhi,100,500,221,BDS
Dentist,25,Chattarpur,Delhi,94,500,17,BDS
Dentist,18,Mayur Vihar Ph-III,Delhi,99,400,154,BDS
Dentist,46,Sarita Vihar,Delhi,98,1000,228,BDS
Dentist,14,Pitampura,Delhi,88,500,26,BDS
Dentist,17,Dwarka,Delhi,99,500,695,BDS
Dentist,26,Dwarka,Delhi,98,500,158,BDS
Dentist,25,Pusa Road,Delhi,98,800,158,BDS
Dentist,17,Pitampura,Delhi,96,400,384,BDS
Dentist,16,Pitampura,Delhi,97,300,159,BDS
Dentist,10,Patel Nagar West,Delhi,99,300,269,BDS
Dentist,24,Lajpat Nagar,Delhi,98,400,399,BDS
Dentist,26,Ashok Vihar,Delhi,100,500,233,BDS
Dentist,15,Pitampura,Delhi,91,500,68,BDS
Dentist,28,CR Park,Delhi,95,500,22,BDS
Dentist,20,Mukherjee Nagar,Delhi,98,400,157,BDS
Dentist,23,Lajpat Nagar,Delhi,93,700,211,BDS
Dentist,21,Karol Bagh,Delhi,97,600,287,BDS
Dentist,27,Vasant Vihar,Delhi,98,800,384,BDS
Dentist,27,Vikas Puri,Delhi,98,500,211,BDS
Dentist,23,Patparganj,Delhi,97,500,58,BDS
Dentist,21,Malviya Nagar,Delhi,99,500,1510,BDS
Dentist,34,Sarita Vihar,Delhi,97,700,410,BDS
Dentist,26,Lajpat Nagar,Delhi,97,700,394,BDS
Dentist,22,Kalkaji,Delhi,97,500,113,BDS
Dentist,20,Vijaynagar,Delhi,98,500,667,BDS
Dentist,15,Alaknanda,Delhi,98,300,566,BDS
Dentist,9,Jangpura,Delhi,100,200,22,BDS
Dentist,29,Pitampura,Delhi,98,700,183,BDS
Dentist,19,Vishnu Garden,Delhi,91,500,67,BDS
Dentist,13,Katwaria Sarai,Delhi,96,350,193,BDS
Dentist,12,Kamla Nagar,Delhi,98,300,154,BDS
Dentist,13,Katwaria Sarai,Delhi,96,350,133,BDS
Dentist,22,Ashok Vihar,Delhi,96,1000,160,BDS
Dentist,13,Kamla Nagar,Delhi,93,300,139,BDS
Dentist,26,Tilak Nagar,Delhi,98,500,243,BDS
Dentist,11,Rohini Sector 18,Delhi,100,500,93,BDS
Dentist,21,Mayur Vihar Ph-II,Delhi,100,600,46,BDS
Dentist,23,Rohini,Delhi,100,500,166,BDS
Dentist,13,Saket,Delhi,100,700,39,BDS
Dentist,12,Paschim Vihar,Delhi,98,500,107,BDS
Dentist,15,Dwarka Sector 7,Delhi,100,500,62,BDS
Dentist,26,Kilokri,Delhi,99,1500,304,BDS
Dentist,27,South Extension 2,Delhi,99,700,108,BDS
Dentist,46,Defence Colony,Delhi,92,1000,189,BDS
Dentist,22,Rohini Sector 7,Delhi,96,300,175,BDS
Dentist,11,Vikas Puri,Delhi,97,500,32,BDS
Dentist,14,Mayur Vihar Ph-II,Delhi,99,300,101,BDS
Dentist,20,Hari Nagar,Delhi,99,500,128,BDS
Dentist,18,Dwarka Sector 12,Delhi,95,500,21,BDS
Dentist,13,Vikas Puri,Delhi,85,500,53,BDS
Dentist,27,Mayur Vihar Ph-II,Delhi,75,800,817,BDS
Dentist,25,New Rajendra Nagar,Delhi,98,600,148,BDS
Dentist,18,Vasant Kunj,Delhi,99,500,812,BDS
Dentist,27,Paschim Vihar,Delhi,100,500,343,BDS
Dentist,14,Vasant Kunj,Delhi,100,500,84,BDS
Dentist,24,Dwarka Sector 6,Delhi,92,500,36,BDS
Dentist,17,Kingsway Camp,Delhi,100,500,28,BDS
Dentist,6,Panchsheel Enclave,Delhi,100,500,86,BDS
Dentist,16,Gujranwala Town,Delhi,100,500,132,BDS
Dentist,7,Kalkaji,Delhi,100,200,19,BDS
Dentist,26,Kirti Nagar,Delhi,100,500,105,BDS
Dentist,13,Pitampura,Delhi,100,500,28,BDS
Dentist,17,Kingsway Camp,Delhi,100,500,12,BDS
Dentist,13,Pitampura,Delhi,100,500,98,BDS
Dentist,9,Rohini,Delhi,97,400,72,BDS
Dentist,3,Rohini Sector 16,Delhi,100,200,298,BDS
Dentist,15,Durga Puri,Delhi,96,300,234,BDS
Dentist,14,Prashant Vihar,Delhi,96,500,114,BDS
Dentist,22,Rohini,Delhi,100,500,117,BDS
Dentist,9,Mayur Vihar,Delhi,95,400,265,BDS
Dentist,4,Malviya Nagar,Delhi,100,300,12,BDS
Dentist,12,Kapashera,Delhi,88,250,24,BDS
Dentist,27,Munirka,Delhi,94,1000,49,BDS
Dentist,6,Vasant Kunj,Delhi,99,500,236,BDS
Dentist,19,Shalimar Bagh,Delhi,97,500,137,BDS
Dentist,24,New Friends Colony,Delhi,100,800,110,BDS
Dentist,19,Defence Colony,Delhi,99,600,114,BDS
Dentist,13,Rohini,Delhi,93,300,14,BDS
Dentist,25,Rajouri Garden,Delhi,100,500,28,BDS
Dentist,26,Vasant Kunj,Delhi,98,500,253,BDS
Dentist,11,Pitampura,Delhi,98,500,253,BDS
Dentist,13,Dwarka Sector 7,Delhi,99,400,69,BDS
Dentist,2,Madangir,Delhi,98,100,41,BDS
Dentist,29,Pitampura,Delhi,98,500,41,BDS
Dentist,6,Madangir,Delhi,98,200,41,BDS
Dentist,22,Malviya Nagar,Delhi,100,500,82,BDS
Dentist,10,Vasundhra Enclave,Delhi,100,600,16,BDS
Dentist,18,Jangpura,Delhi,100,200,16,BDS
Dentist,2,New Friends Colony,Delhi,100,300,16,BDS
Dentist,11,Dilshad Garden,Delhi,100,600,16,BDS
Dentist,12,Karkardooma,Delhi,99,300,1347,BDS
Dentist,19,Pitampura,Delhi,99,400,213,BDS
Dentist,8,Nangloi,Delhi,98,300,129,BDS
Dentist,8,Meera Bagh,Delhi,98,300,129,BDS
Dentist,4,Vasant Vihar,Delhi,100,500,22,BDS
Dentist,7,Dwarka Sector 3,Delhi,100,350,55,BDS
Dentist,10,Dwarka,Delhi,100,500,434,BDS
Dentist,24,Vasundhra Enclave,Delhi,99,950,142,BDS
Dentist,9,Pitampura,Delhi,100,400,30,BDS
Dentist,6,Okhla,Delhi,99,200,140,BDS
Dentist,26,Dwarka,Delhi,100,500,23,BDS
Dentist,11,Panchsheel Park,Delhi,100,500,23,BDS
Dentist,5,Dashrath Puri,Delhi,100,200,55,BDS
Dentist,14,Model Town 1,Delhi,100,500,55,BDS
Dentist,6,Vikas Puri,Delhi,100,300,55,BDS
Dentist,27,Saket,Delhi,100,1000,55,BDS
Dentist,11,Rohini Sector 24,Delhi,99,200,83,BDS
Dentist,4,Paschim Vihar,Delhi,99,300,83,BDS
Dentist,6,Safdarjung Enclave,Delhi,99,500,83,BDS
Dentist,20,Hari Nagar,Delhi,98,300,80,BDS
Dentist,7,Greater Kailash Part 1,Delhi,98,750,80,BDS
Dentist,12,Rohini,Delhi,98,500,80,BDS
Dentist,6,Rohini Sector 15,Delhi,99,500,168,BDS
Dentist,7,Dwarka,Delhi,99,500,168,BDS
Dentist,4,Saket,Delhi,99,500,168,BDS
Dentist,3,Panchsheel Park,Delhi,99,1000,168,BDS
Dentist,8,Dwarka Sector 11,Delhi,99,400,168,BDS
Dentist,14,Rajouri Garden,Delhi,99,500,137,BDS
Dentist,7,Dwarka Sector 11,Delhi,99,500,99,BDS
Dentist,10,Mayur Vihar,Delhi,99,400,99,BDS
Dentist,5,Chattarpur,Delhi,99,400,99,BDS
Dentist,15,Dwarka Sector 19,Delhi,99,500,99,BDS
Dentist,6,Greater Kailash,Delhi,99,0,99,BDS
Dentist,13,Pusa Road,Delhi,100,800,312,BDS
Dentist,13,RK Puram,Delhi,97,300,35,BDS
Dentist,22,Kalkaji,Delhi,98,800,632,BDS
Dentist,16,Ashok Vihar,Delhi,97,300,396,BDS
Dentist,14,South Extension 2,Delhi,100,700,67,BDS
Dentist,23,Jagriti Enclave,Delhi,98,500,530,BDS
Dentist,20,Krishna Nagar,Delhi,96,300,116,BDS
Dentist,15,Rohini,Delhi,97,500,73,BDS
Dentist,13,Rohini,Delhi,98,400,290,BDS
Dentist,26,Janakpuri,Delhi,97,1000,201,BDS
Dentist,13,Rohini,Delhi,96,400,252,BDS
Dentist,19,Sukhdev Vihar,Delhi,98,500,231,BDS
Dentist,8,Khanpur,Delhi,100,250,14,BDS
Dentist,6,Rohini,Delhi,98,300,40,BDS
Dentist,3,Laxmi Nagar,Delhi,98,200,40,BDS
Dentist,15,Krishna Nagar,Delhi,100,350,215,BDS
Dentist,15,Chattarpur,Delhi,92,500,36,BDS
Dentist,5,Laxmi Nagar,Delhi,92,300,36,BDS
Dentist,17,Kalyan Vihar,Delhi,94,1100,16,BDS
Dentist,5,Uttam Nagar,Delhi,94,100,16,BDS
Dentist,9,Pitampura,Delhi,89,200,37,BDS
Dentist,5,Pandav Nagar,Delhi,78,200,36,BDS
Dentist,12,Safdarjung Enclave,Delhi,100,500,15,BDS
Dentist,7,Zakir Nagar,Delhi,100,500,15,BDS
Dentist,7,Uttam Nagar,Delhi,100,300,17,BDS
Dentist,5,Kamla Nagar,Delhi,100,300,17,BDS
Dentist,22,Patparganj,Delhi,100,1200,17,BDS
Dentist,21,Ghatkopar East,Mumbai,99,500,363,BDS
Dentist,18,Matunga,Mumbai,99,500,924,BDS
Dentist,17,Worli,Mumbai,98,500,1003,BDS
Dentist,14,Chembur,Mumbai,100,500,414,BDS
Dentist,26,Chembur,Mumbai,96,750,608,BDS
Dentist,24,Vileparle East,Mumbai,100,300,31,BDS
